Comment,Designator,Footprint,LCSC
AO3401A,Q1,SOT-23,C15127
USB_C_Receptacle_USB2.0,J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,C165948
500mA,"F1,F2",Fuse_0603_1608Metric,C210357
4.7u,"C1,C3,C5,C7",C_0402_1005Metric,C23733
100R,R12,R_0402_1005Metric,C25076
10k,"R11,R13,R3,R6,R7",R_0402_1005Metric,C25744
22k,R4,R_0402_1005Metric,C25792
2k2,R5,R_0402_1005Metric,C25867
5k1,"R1,R10,R2,R9",R_0402_1005Metric,C25905
1M,R8,R_0402_1005Metric,C26083
MAX17048,U3,DFN-8-1EP_2x2mm_P0.5mm_EP0.7x1.3mm,C2682616
BQ24075RGT,U1,VQFN-16-1EP_3x3mm_P0.5mm_EP1.6x1.6mm,C2865459
1N4148WT,"D1,D10,D11,D12,D13,D14,D15,D16,D17,D2,D3,D4,D5,D6,D7,D8,D9",D_SOD-523,C511874
100n,"C10,C11,C12,C2,C4,C6,C8,C9",C_0402_1005Metric,C52923
SRV05-4,U2,SOT-23-6,C558418
2N7002,Q2,SOT-23,C8545
BLM15PX121SN1D,"L1,L2",L_0402_1005Metric,C88970
ext,J4,Molex_PicoBlade_53048-0710_1x07_P1.25mm_Horizontal,
BAT,J2,Molex_PicoBlade_53048-0210_1x02_P1.25mm_Horizontal,
